Date,Influent,COD_in,Ntot_in,NH4-N_in
-,m3/d,gCOD/m^3,gN/m^3,gNH4-N/m^3
01.04.2018,21895,,,
02.04.2018,18972,,,
03.04.2018,18028,,,
04.04.2018,22475,173.7,36.2,22.4
05.04.2018,17280,,,
06.04.2018,17074,,,
07.04.2018,15225,,,
08.04.2018,15620,185.6,37,21.4
09.04.2018,15560,,,
10.04.2018,15195,,,
11.04.2018,15946,,,
12.04.2018,15375,,,
13.04.2018,16559,170.8,29.3,17.4
14.04.2018,13586,269,,
15.04.2018,18653,266.1,31,21.2
16.04.2018,19703,,,
17.04.2018,15526,,,
18.04.2018,14290,242.9,33.4,24.2
19.04.2018,14345,,,
20.04.2018,14448,,,
21.04.2018,12820,,,
22.04.2018,12989,,,
23.04.2018,13356,284.2,39.5,32.2
24.04.2018,12531,,,
25.04.2018,12679,,,
26.04.2018,12856,,,
27.04.2018,12361,,,
28.04.2018,11806,,,
29.04.2018,14307,194.5,32,21.2
30.04.2018,12002,,,
01.05.2018,12748,,,
02.05.2018,12675,,,
03.05.2018,11544,230.9,44.6,32.6
04.05.2018,11905,,,
05.05.2018,11746,,,
06.05.2018,12107,,,
07.05.2018,12826,,,
08.05.2018,13374,,,
09.05.2018,18399,202.1,27.4,30.5
10.05.2018,20265,,,
11.05.2018,12107,,,
12.05.2018,13700,,,
13.05.2018,12259,,,
14.05.2018,22640,209.1,26.7,26.3
15.05.2018,24856,,,
16.05.2018,22811,,,
17.05.2018,18615,,,
18.05.2018,13390,,,
19.05.2018,11566,205.3,34.8,23.9
20.05.2018,11304,,,
21.05.2018,13173,,,
22.05.2018,28521,,,
23.05.2018,16500,,,
24.05.2018,13968,140,28,20.6
25.05.2018,13373,,,
26.05.2018,12423,,,
27.05.2018,12793,,,
28.05.2018,13126,214.5,41.1,30.8
29.05.2018,12446,,,
30.05.2018,16351,,,
31.05.2018,23859,,,
01.06.2018,14164,,,
02.06.2018,12077,,,
03.06.2018,12676,,,
04.06.2018,23999,194.3,35.2,24.9
05.06.2018,13243,,,
06.06.2018,19978,,,
07.06.2018,13798,193.8,37.8,26.2
08.06.2018,22215,,,
09.06.2018,12443,,,
10.06.2018,12357,,,
11.06.2018,17536,,,
12.06.2018,27698,180.2,31,22.2
13.06.2018,26894,,,
14.06.2018,13456,,,
15.06.2018,12703,,,
16.06.2018,12042,,,
17.06.2018,13590,209.5,34.2,24.7
18.06.2018,13863,,,
19.06.2018,13585,,,
20.06.2018,12331,,,
21.06.2018,12959,,,
22.06.2018,12133,180.6,32.1,23.7
23.06.2018,11031,,,
24.06.2018,11462,,,
25.06.2018,12769,,,
26.06.2018,11280,,,
27.06.2018,12426,211.8,41.3,32.5
28.06.2018,11823,,,
29.06.2018,11782,,,
30.06.2018,11314,,,
01.07.2018,11908,,,
02.07.2018,12368,225.9,47,33.7
03.07.2018,16288,,,
04.07.2018,12599,,,
05.07.2018,27830,,,
06.07.2018,16866,,,
07.07.2018,11234,229.8,33.3,25.5
08.07.2018,12086,,,
09.07.2018,12042,,,
10.07.2018,11459,,,
11.07.2018,11613,,,
12.07.2018,11332,239.7,44.7,31.7
13.07.2018,12257,,,
14.07.2018,12514,,,
15.07.2018,19533,,,
16.07.2018,12546,,,
17.07.2018,10703,264.3,49.7,39.6
18.07.2018,10531,,,
19.07.2018,10057,,,
20.07.2018,10120,,,
21.07.2018,9162,,,
22.07.2018,9443,228.1,37.8,28.2
23.07.2018,10064,,,
24.07.2018,9739,,,
25.07.2018,9688,,,
26.07.2018,9230,,,
27.07.2018,9457,204.1,29.5,21.8
28.07.2018,11918,,,
29.07.2018,9153,,,
30.07.2018,10588,,,
31.07.2018,9228,,,
01.08.2018,19218,155.3,28,16.7
02.08.2018,10156,,,
03.08.2018,10501,,,
04.08.2018,9270,,,
05.08.2018,9666,,,
06.08.2018,15123,201.3,34.6,26.2
07.08.2018,10271,,,
08.08.2018,13336,,,
09.08.2018,14787,,,
10.08.2018,10331,,,
11.08.2018,10565,199.1,28.1,24.3
12.08.2018,10331,,,
13.08.2018,28276,,,
14.08.2018,15598,,,
15.08.2018,12065,,,
16.08.2018,10654,224.3,39.4,30.8
17.08.2018,14041,,,
18.08.2018,10964,,,
19.08.2018,11906,,,
20.08.2018,11277,,,
21.08.2018,10767,237.9,50.2,37.9
22.08.2018,13601,,,
23.08.2018,28846,,,
24.08.2018,19744,,,
25.08.2018,13166,,,
26.08.2018,11586,258.8,35.6,28.6
27.08.2018,11641,,,
28.08.2018,11267,,,
29.08.2018,27041,,,
30.08.2018,14665,,,
31.08.2018,30630,134.3,18.5,9.9
01.09.2018,13627,,,
02.09.2018,13114,,,
03.09.2018,12992,,,
04.09.2018,12047,,,
05.09.2018,12086,274.6,47.5,31.4
06.09.2018,22977,,,
07.09.2018,12821,,,
08.09.2018,12078,,,
09.09.2018,12378,,,
10.09.2018,12499,295.1,48.6,35.5
11.09.2018,11629,,,
12.09.2018,14357,,,
13.09.2018,30719,,,
14.09.2018,14083,,,
15.09.2018,12229,232.2,31.8,22.7
16.09.2018,12275,,,
17.09.2018,14414,,,
18.09.2018,12137,,,
19.09.2018,13284,,,
20.09.2018,11403,221.3,41.7,31.8
21.09.2018,12686,,,
22.09.2018,11283,,,
23.09.2018,23266,,,
24.09.2018,13512,238.5,41.1,32
25.09.2018,12017,,,
26.09.2018,11883,,,
27.09.2018,11398,,,
28.09.2018,11607,,,
29.09.2018,11175,,,
30.09.2018,32629,144.4,45.2,18.3
01.10.2018,20016,,,
02.10.2018,12697,,,
03.10.2018,12556,,,
04.10.2018,11607,,,
05.10.2018,11604,212.5,35.6,26.1
06.10.2018,10833,,,
07.10.2018,10887,,,
08.10.2018,11258,,,
09.10.2018,10759,,,
10.10.2018,10884,209.3,41.6,30.9
11.10.2018,9973,,,
12.10.2018,10193,,,
15.10.2018,12377,240.5,44,33.6
16.10.2018,11044,,,
17.10.2018,11337,,,
18.10.2018,10960,,,
19.10.2018,11168,,,
20.10.2018,10609,315.5,50.6,33.9
21.10.2018,11474,,,
22.10.2018,12690,,,
23.10.2018,11790,,,
24.10.2018,11658,,,
25.10.2018,11350,271.7,48.5,39.6
26.10.2018,12435,,,
27.10.2018,29207,,,
28.10.2018,12952,,,
29.10.2018,27431,,,
30.10.2018,16156,231.1,36,27.8
31.10.2018,12565,,,
01.11.2018,12027,,,
02.11.2018,12078,,,
03.11.2018,11430,,,
04.11.2018,12023,279.9,38.8,30.4
05.11.2018,12283,,,
06.11.2018,11404,,,
07.11.2018,11837,,,
08.11.2018,11000,,,
09.11.2018,11300,262.7,54.2,32.7
10.11.2018,10908,,,
11.11.2018,12057,,,
12.11.2018,11733,,,
13.11.2018,12990,,,
14.11.2018,11634,270,48.4,37.5
15.11.2018,10937,,,
16.11.2018,11186,,,
17.11.2018,10761,,,
18.11.2018,11489,,,
19.11.2018,12231,273.7,65.2,40.7
20.11.2018,11574,,,
21.11.2018,11445,,,
22.11.2018,11076,,,
23.11.2018,11251,,,
24.11.2018,10579,301.2,44.8,33.6
25.11.2018,11250,,,
26.11.2018,17248,,,
27.11.2018,14071,,,
28.11.2018,11456,285.1,49.5,37.1
29.11.2018,10827,,,
30.11.2018,14632,,,
01.12.2018,11330,,,
02.12.2018,51699,,,
03.12.2018,40795,,,
04.12.2018,56251,172.2,28,13.8
05.12.2018,23681,,,
06.12.2018,19181,,,
07.12.2018,21895,,,
08.12.2018,17605,,,
09.12.2018,37938,212.3,31.9,22.3
10.12.2018,31372,,,
11.12.2018,20692,,,
12.12.2018,16575,,,
13.12.2018,15363,,,
14.12.2018,14439,238,44.9,23.4
15.12.2018,14747,,,
16.12.2018,14991,,,
17.12.2018,17051,,,
18.12.2018,13899,,,
19.12.2018,16577,271.2,49.6,29.2
20.12.2018,14688,,,
21.12.2018,35063,,,
22.12.2018,30942,,,
23.12.2018,52244,,,
24.12.2018,44682,112.2,16.3,7.5
25.12.2018,22975,,,
26.12.2018,19650,,,
27.12.2018,17479,,,
28.12.2018,16351,,,
29.12.2018,14752,166.8,32.8,21.8
30.12.2018,15296,,,
31.12.2018,16141,,,
01.01.2019,13128,,,
02.01.2019,13708,,,
03.01.2019,13562,228.4,46.3,34.2
04.01.2019,13586,,,
05.01.2019,16226,,,
06.01.2019,29205,,,
07.01.2019,21709,,,
08.01.2019,22959,142.4,30,20.3
09.01.2019,20001,,,
10.01.2019,19122,,,
11.01.2019,18642,,,
12.01.2019,29835,,,
13.01.2019,52053,94.1,23.9,6
14.01.2019,46827,,,
15.01.2019,29045,,,
16.01.2019,23417,,,
17.01.2019,26074,,,
18.01.2019,20124,131.8,23.4,15.3
19.01.2019,19535,,,
20.01.2019,18611,,,
21.01.2019,18073,,,
22.01.2019,17332,,,
23.01.2019,16973,159.6,32.7,22.6
24.01.2019,15732,,,
25.01.2019,15594,,,
26.01.2019,15443,,,
27.01.2019,18645,157.6,28.5,17.7
28.01.2019,16605,,,
29.01.2019,15558,,,
30.01.2019,15654,,,
31.01.2019,14845,,,
01.02.2019,16209,,,
02.02.2019,24294,183.2,26.5,19.9
03.02.2019,26354,161.2,23.1,
04.02.2019,19143,,,
05.02.2019,17270,,,
06.02.2019,16988,,,
07.02.2019,28300,,,
08.02.2019,18630,134.2,20.9,14.9
09.02.2019,18788,,,
10.02.2019,31414,,,
11.02.2019,22268,,,
12.02.2019,18945,153,31.8,21.8
13.02.2019,18149,,,
14.02.2019,16856,,,
15.02.2019,16283,,,
16.02.2019,15370,,,
17.02.2019,15414,163.6,27,18
18.02.2019,16752,,,
19.02.2019,15688,,,
20.02.2019,15246,,,
21.02.2019,14736,,,
22.02.2019,14412,172.8,22.5,18.2
23.02.2019,14023,,,
24.02.2019,13967,,,
25.02.2019,14561,,,
26.02.2019,13854,,,
27.02.2019,13911,188.3,42.6,30
28.02.2019,13350,,,
01.03.2019,26779,,,
02.03.2019,14088,,,
03.03.2019,15145,,,
04.03.2019,17487,184.8,35.5,27.6
05.03.2019,14184,,,
06.03.2019,14816,,,
07.03.2019,15585,,,
08.03.2019,21156,150.1,25.6,16.5
09.03.2019,18423,,,
10.03.2019,21455,,,
11.03.2019,19056,,,
12.03.2019,16016,,,
13.03.2019,21165,,,
14.03.2019,31542,157,24.9,14.4
15.03.2019,44580,,,
16.03.2019,20960,,,
17.03.2019,23407,,,
18.03.2019,19333,,,
19.03.2019,18725,,,
